Sl. No,Zone,District,Taluk,Name of Sub-Station,Voltage Class (in kV),Date of commission
50,DELHI,Delhi,Janakpuri,Janakpuri Grid,220,18-09-2009
51,DELHI,Delhi,Janakpuri,Janakpuri Sector 1,220,07-10-2017
52,DELHI,Delhi,Janakpuri,Janakpuri Sector 2,66,11-04-2015
53,DELHI,Delhi,Janakpuri,Janakpuri Sector 3,66,16-07-2015
54,DELHI,Delhi,Janakpuri,Janakpuri Sector 4,66,15-03-2003
55,DELHI,Delhi,Janakpuri,Janakpuri Sector 5,220,05-04-2018
56,DELHI,Delhi,Janakpuri,Janakpuri Sector 6,66,18-09-2003
57,DELHI,Delhi,Janakpuri,Janakpuri Sector 7,66,24-10-2008
58,DELHI,Delhi,Janakpuri,Janakpuri Sector 8,66,19-07-2006
59,DELHI,Delhi,Connaught place,Connaught place Hub,400,12-04-2005
60,DELHI,Delhi,Connaught place,Connaught place Grid,220,18-09-2009
61,DELHI,Delhi,Connaught place,Connaught place Sector 1,220,05-09-2010
62,DELHI,Delhi,Connaught place,Connaught place Sector 2,66,03-01-2022
63,DELHI,Delhi,Connaught place,Connaught place Sector 3,66,04-03-2015
64,DELHI,Delhi,Connaught place,Connaught place Sector 4,66,06-11-2008
65,DELHI,Delhi,Connaught place,Connaught place Sector 5,220,20-02-2007
66,DELHI,Delhi,Connaught place,Connaught place Sector 6,66,13-10-2009
67,DELHI,Delhi,Connaught place,Connaught place Sector 7,66,17-05-2012
68,DELHI,Delhi,Connaught place,Connaught place Sector 8,66,28-01-2016
69,DELHI,Delhi,Connaught place,Connaught place Sector 9,220,24-02-2016
70,DELHI,Delhi,Karol bagh,Karol bagh Hub,400,12-04-2005
71,DELHI,Delhi,Karol bagh,Karol bagh Grid,220,18-09-2009
72,DELHI,Delhi,Karol bagh,Karol bagh Sector 1,220,25-05-2019
73,DELHI,Delhi,Karol bagh,Karol bagh Sector 2,66,21-06-1998
74,DELHI,Delhi,Karol bagh,Karol bagh Sector 3,66,10-07-2000
75,DELHI,Delhi,Karol bagh,Karol bagh Sector 4,66,15-01-2018
76,DELHI,Delhi,Karol bagh,Karol bagh Sector 5,220,24-05-2011
77,DELHI,Delhi,Karol bagh,Karol bagh Sector 6,66,25-03-2011
78,DELHI,Delhi,Karol bagh,Karol bagh Sector 7,66,04-11-2004
79,DELHI,Delhi,Karol bagh,Karol bagh Sector 8,66,27-11-2011
80,DELHI,Delhi,Karol bagh,Karol bagh Sector 9,220,20-04-1999
81,DELHI,Delhi,Karol bagh,Karol bagh Sector 10,66,12-03-2012
82,DELHI,Delhi,Karol bagh,Karol bagh Sector 11,66,25-09-1995
83,DELHI,Delhi,Karol bagh,Karol bagh Sector 12,66,20-06-2010
84,DELHI,Delhi,Saket,Saket Hub,400,12-04-2005
85,DELHI,Delhi,Saket,Saket Grid,220,18-09-2009
86,DELHI,Delhi,Saket,Saket Sector 1,220,04-06-2021
87,DELHI,Delhi,Saket,Saket Sector 2,66,26-05-2002
88,DELHI,Delhi,Saket,Saket Sector 3,66,02-04-2013
89,DELHI,Delhi,Saket,Saket Sector 4,66,03-02-2018
90,DELHI,Delhi,Saket,Saket Sector 5,220,16-02-2019
91,DELHI,Delhi,Saket,Saket Sector 6,66,18-03-1999
92,DELHI,Delhi,Saket,Saket Sector 7,66,22-08-2012
93,DELHI,Delhi,Saket,Saket Sector 8,66,06-05-2011
